,Age(DoC-DoB),GENDERID,SOCIALCATID,RELIGIONID,BPL_YN,DISADV_YN,FREEEDU_YN,ATTENDANCE(%),HOMELESS_YN,EXAMMARKS(%),XMAPPR_YN,Dropout?
0,0.047660972601324014,2,0,0,2,2,2,0.040434764694,2,0.0289892297982,1,0
1,0.05106532778713287,2,0,0,2,2,2,0.0229130333266,2,0.0317069700918,1,0
2,0.047660972601324014,2,0,0,2,2,2,0.0303260735205,2,0.0588843730277,1,0
3,0.05106532778713287,2,0,0,2,2,2,0.0168478186225,2,0.0525429790093,1,0
4,0.047660972601324014,1,0,0,2,2,2,0.0512173686123,2,0.055260719302900004,1,0
5,0.05106532778713287,1,0,1,2,2,2,0.0357173754797,2,0.0688494207708,1,0
6,0.05106532778713287,1,0,0,2,2,2,0.041782590183800004,2,0.0308010566606,1,0
7,0.047660972601324014,2,0,0,2,2,2,0.0276304225409,2,0.0235537492111,1,1
8,0.047660972601324014,1,0,0,1,2,2,0.0640217107654,2,0.0181182686239,1,1
9,0.047660972601324014,2,0,0,2,2,2,0.0235869460715,2,0.028083316367,1,0
10,0.047660972601324014,1,0,1,2,2,2,0.041782590183800004,2,0.0317069700918,1,0
11,0.054469682972941726,1,1,0,2,2,2,0.0438043284185,2,0.0588843730277,1,0
12,0.05106532778713287,1,0,0,2,2,2,0.0505434558674,2,0.053448892440499995,1,0
13,0.05106532778713287,2,0,3,2,2,2,0.0363912882246,2,0.0289892297982,1,1
14,0.047660972601324014,2,1,1,1,2,1,0.006739127448989999,2,0.0525429790093,1,1
15,0.05106532778713287,1,0,1,2,2,2,0.0235869460715,2,0.0616021133213,1,0
16,0.044256617415515155,1,3,0,2,2,2,0.0397608519491,2,0.028083316367,1,0
17,0.047660972601324014,1,0,3,2,2,2,0.0451521539083,2,0.0670375939084,1,0
18,0.047660972601324014,2,0,0,1,2,2,0.0579564960613,2,0.0516370655781,1,0
19,0.047660972601324014,2,0,1,1,2,2,0.024260858816400003,2,0.041672017835,1,1
20,0.044256617415515155,1,0,1,2,2,2,0.0626738852756,2,0.0606961998901,1,0
21,0.047660972601324014,2,0,0,2,2,2,0.0505434558674,2,0.0507311521469,1,0
22,0.047660972601324014,2,0,0,2,2,2,0.0370652009695,2,0.0317069700918,1,0
23,0.05106532778713287,2,0,0,2,2,2,0.028304335285799998,2,0.055260719302900004,1,0
24,0.054469682972941726,2,0,0,2,2,2,0.0363912882246,2,0.0588843730277,1,0
25,0.044256617415515155,2,0,1,1,2,2,0.0566086705715,2,0.07609672822039999,1,0
26,0.057874038158750585,2,2,0,1,2,1,0.0572825833164,2,0.028083316367,1,0
27,0.047660972601324014,1,0,0,2,2,2,0.053239106847,2,0.0588843730277,1,0
